Award,award_1,award_2,extra_1,extra_2,authors,paper,DOI
Best Paper Award,Full Papers Best Paper,,Presented To:,,"Elsie Lee-Robbins, Eytan Adar",Affective Learning Objectives for Communicative Visualizations,paper_v-full-1240.html
Best Paper Award,Full Papers Best Paper,,Presented To:,,"Lace Padilla, Racquel Fygenson, Spencer C. Castro, Enrico Bertini",The Goldilocks Zone: Balancing Trust and Task-Based Performance in Multiple COVID-19 Forecast Visualization Choices,paper_v-full-1636.html
Best Paper Award,Full Papers Best Paper,,Presented To:,,"David Hägele, Tim Krake, Daniel Weiskopf",Uncertainty-Aware Multidimensional Scaling,paper_v-full-1075.html
Best Paper Award,Short Papers Best Paper,,Presented To:,,"Leilani Battle, Danni Feng, Kelli Webber","Exploring D3 Implementation Challenges on Stack Overflow ",paper_v-short-1097.html
Best Poster Award,VIS Best Poster,,Presented To:,,"TBA",To Be Announced, 
Honorable Mention,Full Papers Honorable Mention,,Presented To:,,"Ying Zhao, Luhao Ge, Huixuan Xie, Genghuai Bai, Zhao Zhang, Qiang Wei, Yun Lin, Yuchao Liu, Fangfang Zhou",ASTF: Visual Abstractions of Time-Varying Patterns in Radio Signals ,paper_v-full-1069.html
Honorable Mention,Full Papers Honorable Mention,,Presented To:,,"Yang Shi, Tian Gao, Xiaohan Jiao, Nan Cao",Breaking the Fourth Wall of Data Stories through Interaction ,paper_v-full-1198.html
Honorable Mention,Full Papers Honorable Mention,,Presented To:,,"Nicole Sultanum, Farooq Naeem, Michael Brudno, Fanny Chevalier",ChartWalk: Navigating large collections of text notes in electronic health records for clinical chart review ,paper_v-full-1228.html
Honorable Mention,Full Papers Honorable Mention,,Presented To:,,"Benjamin Bach, Euan Freeman, Alfie Abdul-Rahman, Cagatay Turkay, Saiful Khan, Yulei Fan, Min Chen",Dashboard Design Patterns ,paper_v-full-1554.html
Honorable Mention,Full Papers Honorable Mention,,Presented To:,,"Abhraneel Sarma, Shunan Guo, Jane Hoffswell, Ryan Rossi, Fan Du, Eunyee Koh, Matthew Kay",Evaluating the Use of Uncertainty Visualisations for Imputations of Missing Values in Scatterplots,paper_v-full-1121.html
Honorable Mention,Full Papers Honorable Mention,,Presented To:,,"Wai Tong, Zhutian Chen, Meng Xia, Leo Yu-Ho Lo, Linping Yuan, Benjamin Bach, Huamin Qu",Exploring Interactions with Printed Data Visualizations in Augmented Reality ,paper_v-full-1101.html
Honorable Mention,Full Papers Honorable Mention,,Presented To:,,"Qianwen Wang, Kexin Huang, Payal Chandak, Marinka Zitnik, Nils Gehlenborg",Extending the Nested Model for User-Centric XAI: A Design Study on GNN-based Drug Repurposing ,paper_v-full-1584.html
Honorable Mention,Full Papers Honorable Mention,,Presented To:,,"David Bauer, Qi Wu, Kwan-Liu Ma",FoVolNet: Fast Volume Rendering using Foveated Deep Neural Networks,paper_v-full-1010.html
Honorable Mention,Full Papers Honorable Mention,,Presented To:,,"Kai Lawonn, Monique Meuschke, Pepe Eulzer, Matthias Mitterreiter, Joachim Giesen, Tobias Günther",GRay: Ray Casting for Visualization and Interactive Data Exploration of Gaussian Mixture Models,paper_v-full-1418.html
Honorable Mention,Full Papers Honorable Mention,,Presented To:,,"JAditeya Pandey, Arjun Srinivasan, Vidya Setlur",Medley: Intent-based Recommendations to Support Dashboard Composition,paper_v-full-1142.html
Honorable Mention,Full Papers Honorable Mention,,Presented To:,,"Yihong Wu, Dazhen Deng, Xiao Xie, Moqi He, Jie Xu, Hongzeng Zhang, Hui Zhang, Yingcai Wu",OBTracker: Visual Analytics of Off-ball Movements in Basketball,paper_v-full-1083.html
