award,extra,name
IEEE Visualization Academy,INDUCTEE,Leila De Floriani
IEEE Visualization Academy,INDUCTEE,Jean-Daniel Fekete
IEEE Visualization Academy,INDUCTEE,Jessie Kennedy
IEEE Visualization Academy,INDUCTEE,Bongshin Lee
IEEE Visualization Academy,INDUCTEE,Shixia Liu
IEEE Visualization Academy,INDUCTEE,Silvia Miksch
IEEE Visualization Academy,INDUCTEE,Catherine Plaisant
IEEE Visualization Academy,INDUCTEE,Huamin Qu
IEEE Visualization Academy,INDUCTEE,Penny Rheingans
IEEE Visualization Academy,INDUCTEE,Heidrun Schumann
IEEE Visualization Academy,INDUCTEE,Han-Wei Shen
IEEE Visualization Academy,INDUCTEE,Deborah Silver
IEEE Visualization Academy,INDUCTEE,Bob Spence
IEEE Visualization Academy,INDUCTEE,Maureen Stone
IEEE Visualization Academy,INDUCTEE,Colin Ware
