Award,award_1,award_2,extra_1,extra_2,authors,paper,DOI
VAST Best Paper Award,VAST Best Paper Award,,Presented To:,,"Liang Gou, Lincan Zou, Nanxiang Li, Michael Hofmann, Shekar Arvind Kumar, Axel Wendt, and Liu Ren","VATLD: A Visual Analytics System to Assess, Understand and Improve Traffic Light Detection",https://virtual.ieeevis.org/paper_f-vast-1307.html
VAST Best Paper Award Honorable Mention (1 of 2),VAST Best Paper Honorable Mention,,Presented To:,,"Tom Baumgartl, Markus Petzold_, Marcel Wunderlich, Markus Höhn, Daniel Archambault, Michael Lieser, Alexander Dalpke, Simone Scheithauer, Michael Marschollek, Vanessa M. Eichel, Nico T. Mutters, and Tatiana von Landesberger",In Search of Patient Zero: Visual Analytics of Pathogen Transmission Pathways in Hospitals,https://virtual.ieeevis.org/paper_f-vast-1184
VAST Best Paper Award Honorable Mention (2 of 2),VAST Best Paper Honorable Mention,,Presented To:,,"Ying Zhao, Haojin Jiang, Qi’an Chen, Yaqi Qin, Huixuan Xie, Yitao Wu, Shixia Liu, Zhiguang Zhou, Jiazhi Xia, and Fangfang Zhou",Preserving Minority Structures in Graph Sampling,https://virtual.ieeevis.org/paper_f-vast-1082.html
InfoVis Best Paper Award,InfoVis Best Paper Award,,Presented To:,,"Alex Kale, Matthew Kay, and Jessica Hullman",Visual Reasoning Strategies and Satisficing: How Uncertainty Visualization Design Impacts Effect Size Judgments and Decisions,https://virtual.ieeevis.org/paper_f-info-1187.html
InfoVis Best Paper Honorable Mention (1 of 4),InfoVis Best Paper Honorable Mention,,Presented To:,,"Madison Elliott, Christine Nothelfer Nielsen, Cindy Xiong, and Danielle Albers Szafir",A Design Space of Vision Science Methods for Visualization Research,https://virtual.ieeevis.org/paper_f-info-1362.html
InfoVis Best Paper Honorable Mention (2 of 4),InfoVis Best Paper Honorable Mention,,Presented To:,,"Wouter Meulemans, Max Sondag, and Bettina Speckmann",A Simple Pipeline for Coherent Grid Maps,https://virtual.ieeevis.org/paper_f-info-1166.html
InfoVis Best Paper Honorable Mention (3 of 4),InfoVis Best Paper Honorable Mention,,Presented To:,,"Fritz Lekschas, Xinyi Zhou, Wei Chen, Nils Gehlenborg, Benjamin Bach, and Hanspeter Pfister",A Generic Framework and Library for Exploration of Small Multiples through Interactive Piling,https://virtual.ieeevis.org/paper_f-info-1273.html
InfoVis Best Paper Honorable Mention (4of 4),InfoVis Best Paper Honorable Mention,,Presented To:,,"Benjamin Lee, David Brown, Bongshin Lee, Christophe Hurter, Steven Drucker, and Tim Dwyer",Data Visceralization: Enabling Deeper Understanding of Data Using Virtual Reality,https://virtual.ieeevis.org/paper_f-info-1084.html
SciVis Best Paper Award,SciVis Best Paper Award,,Presented To:,,"Peter Rautek, Matej Mlejnek, Johanna Beyer, Jakob Troidl, Hanspeter Pfister, Thomas Theussl, Markus Hadwiger",Objective Observer-Relative Flow Visualization in Curved Spaces for Unsteady 2D Geophysical Flows,https://virtual.ieeevis.org/paper_f-scivis-1144.html
SciVis Best Paper Honorable Mention,SciVis Best Paper Honorable Mention,,Presented To:,,"Annemieke Verbraeck, Elmar Eisemann",Interactive Black Hole Visualization,https://virtual.ieeevis.org/paper_f-scivis-1170.html
Best Short Paper Award,"Best Short Paper
 Award",,Presented to,,"Marwin Schindler, Hsiang-Yun,
Renata Georgia Raidou",The Anatomical Edutainer,https://virtual.ieeevis.org/paper_s-short-1109.html
"Best Short Paper
 Honorable Mention (1 of 2)","Best Short Paper
 Honorable Mention",,Presented to,,"
Krist Wongsuphasawat","Encodable: Configurable Grammar for
 Visualization Components",https://virtual.ieeevis.org/paper_s-short-1133.html
"Best Short Paper
 Honorable Mention (2 of 2)","Best Short Paper
 Honorable Mention",,Presented to,,"
Roza Gunes Bayrak, Nhung Hoang,
 Colin Blake Hansen, Catie Chang, Matthew Berger","PRAGMA: Interactively Constructing
 Functional Brain Parcellations",https://virtual.ieeevis.org/paper_s-short-1166.html
LDAV 2020 Best Paper,LDAV 2020 Best Paper,,Presented to,,"Florian Frieß, Matthias Braun, Steffen Frey, Guido Reina, Thomas Ertl ",Foveated Encoding for Large High-Resolution Displays,https://virtual.ieeevis.org/paper_a-ldav-1026.html
LDAV 2020 Best Paper Honorable Mention,LDAV 2020 Best Paper Honorable Mention,,Presented to,,"Will Usher, Valerio Pascucci",Interactive Visualization of Terascale Data in the Browser: Fact or Fiction?,https://virtual.ieeevis.org/paper_a-ldav-1012.html
